Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.37750688221645187,-6.011178737444665,-1.5656003516980946,-5.449586289573517,-0.0825458911054773 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.5484899203135043,-8.47908392652273,-2.1921711774261896,-7.5372612485898,-0.15985832550376995 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.7404752230010164,-10.955878400474534,-2.8173883673912316,-9.631574432104117,-0.2710092618368358 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.9488952633329102,-13.43912802428163,-3.455425083520254,-11.734539243615018,-0.40717272387278749 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.9967397933555231,-13.241033455718912,-3.5133657795290675,-11.593909464959666,-0.5310054182967789 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.061187289818549,-13.063645656216265,-3.5287957759563826,-11.444325311336911,-0.6237525859226785 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-1.1087963740591318,-12.884990540297192,-3.5400690615886107,-11.294386486325493,-0.6890016918089211 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1448749605514393,-12.706388069651146,-3.5350040198879926,-11.151599709141408,-0.7369283981579873 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.1793340671173685,-12.582912495740459,-3.531479400370131,-11.018048519387776,-0.7766855850542495 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.210072796488547,-12.460914133711807,-3.5256901217618408,-10.88524272751306,-0.813231451170586 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.2386351474590938,-12.340575364307928,-3.517875770354408,-10.752660483275236,-0.8481910107810804 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.267591283243329,-12.22199801020824,-3.5090326305764849,-10.62051500894745,-0.8820357663673593 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.3008648515445878,-12.189813262023887,-3.5436568110544046,-10.627370689261796,-0.9157898150571485 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.332719400022227,-12.15884405557642,-3.5739134686590434,-10.641340569158502,-0.9497956363990289 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.3648071421197366,-12.129627422118503,-3.603274631297154,-10.655445409219567,-0.983948520450819 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.396937828236019,-12.101977551795855,-3.63251729652211,-10.669141881937435,-1.0180972357117946 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.422371622519074,-11.979567171661702,-3.628549686303245,-10.579216208334856,-1.0511166788113507 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.448550963109539,-11.857302385112816,-3.6257998294511255,-10.481571135318803,-1.0826025869971679 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.4737444386848886,-11.734981341913322,-3.623039930179175,-10.383166788842118,-1.1128108183380395 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4981714195002847,-11.612673997926845,-3.6195568604708798,-10.284537829990257,-1.1421006006204262 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5310696278818535,-11.613366076605397,-3.644081015130155,-10.284814600801554,-1.1720328530867835 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.562477137397619,-11.613917222419652,-3.6704396050835159,-10.28904859759325,-1.203346271380165 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5945220343336604,-11.614548984285621,-3.696486797052728,-10.294138873339989,-1.2357973174982496 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6269285618219243,-11.615177330409054,-3.722838690608114,-10.299628958544759,-1.2688917877439404 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6560406397451586,-11.58867636705066,-3.7511400334611837,-10.309094024038587,-1.3017747750991687 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6863302982106088,-11.56358291602742,-3.777859483567852,-10.31879097772844,-1.3341016422887267 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.7162870579123529,-11.539720542373783,-3.8044319200369047,-10.328516800137209,-1.3659626719362604 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.745992246142842,-11.517056649920232,-3.8306413466805226,-10.337960405384365,-1.397509286470875 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.7778038661669707,-11.470021033529239,-3.8391420372664699,-10.308541969676753,-1.4293429364717572 
 01/01  07:30:00,-10.3,45.1906078222777,1.0,22.819555959623899,1.0,22.819555959623899,45.1906078222777,-1.7090727228273517,-9.797499137110782,-3.44595840118825,-9.923892013719126,-1.4484245876449469 
 01/01  07:45:00,-10.15,223.14256197642153,1.0,109.75755355442667,1.0,109.75755355442667,223.14256197642153,-1.3706144712341782,-3.444124964833674,-1.8065141142321864,-8.572602857443428,-1.41992242930593 
 01/01  08:00:00,-10.0,409.1613293294352,1.0,195.8764694434918,1.0,195.8764694434918,409.1613293294352,-0.9573168973165654,3.0504366368497406,-0.06482907379836434,-7.233758341930354,-1.3383135588471753 
