Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.36546228044677139,-5.997491731744522,-0.9631028904500454,-5.323022029399681,0.6808318466897285 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.19328915552416785,-8.465448459570395,-1.5862498602616598,-7.410714623807735,0.6009488565996812 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0001994454673598229,-10.942077746932766,-2.2092954962562318,-9.505069537041664,0.4875467033895458 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.20936921236572338,-13.42518238363828,-2.8455259249703888,-11.607925718502202,0.3495654154162321 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.2595682455316066,-13.22697344502656,-2.904659882836995,-11.464762181299193,0.22432000686027266 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.3261030968717615,-13.04962538678487,-2.9222817697561824,-11.315750974004346,0.1303122823661307 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.3757169728834389,-12.871019301256144,-2.935570651327396,-11.16640690405086,0.06368532117810789 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.41383208996199108,-12.692470223122653,-2.932499635443378,-11.024267778886838,0.014139566142384062 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.4503233643344344,-12.568662011032656,-2.930253214833101,-10.889074561153393,-0.02746408722604847 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.48316693983999978,-12.446318164007085,-2.9258310906463977,-10.754406270525636,-0.06601372687004645 
