Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.587257989596954,-5.865804048873085,4.978416885454294,-4.099871998071535,8.088719335594345 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.402291992521653,-8.332932740883987,4.376663830569555,-6.187352441749056,7.985233344567467 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.1971587943050479,-10.807997309918019,3.7681334329579956,-8.28099432004825,7.850368542413581 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,6.976182267549765,-13.289697754829226,3.1444728447430636,-10.38216563962527,7.693969623444597 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,6.90226790089734,-13.090448190151867,3.07151030071293,-10.221160825625987,7.553048430773181 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,6.815239034351821,-12.913490446930736,3.03243833950296,-10.077690980951389,7.444195987830636 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,6.745449052631185,-12.735385346837545,2.999250245007488,-9.933775585053468,7.361616573694309 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.686751412159963,-12.557367450683812,2.9787626333857135,-9.78722756997638,7.294140327218878 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.62970804637918,-12.430330776291905,2.9664489117626546,-9.637152580456587,7.232908905278293 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.575724452343168,-12.304621391231058,2.9559294596247698,-9.486840325749427,7.173681332319641 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.5225379331117099,-12.180384771686187,2.947106721989826,-9.336257296306372,7.11531446877643 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.469892483770489,-12.05767571037864,2.9426942091962475,-9.194844836984203,7.057791078060167 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.4133882952278749,-12.030650632640527,2.8806252165456955,-9.228896492918353,7.000118481929794 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.357315806131803,-12.00466668953589,2.824586849827085,-9.269445395031824,6.941925232327833 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.301031823130999,-11.98015048442697,2.7693209916723164,-9.30954571825464,6.883373410877082 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.244667770582391,-11.9569726943226,2.714284598968561,-9.348577817012427,6.824722885466128 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.193910159397225,-11.835149751569532,2.6967771546645737,-9.263375878615989,6.76723201818564 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,6.143390376117334,-11.713387101770996,2.677003978637117,-9.170046893351924,6.711389065059152 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,6.09393274136771,-11.591601061129373,2.6575356065005169,-9.075864153281259,6.656947143061064 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.04535310384914,-11.469824339899775,2.638896475033164,-8.981440832845749,6.60351441630606 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.9899376370116539,-11.470894144723909,2.5916426725565318,-8.983710276214766,6.549475762200523 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.935164543115122,-11.471920956472902,2.545490587303675,-8.992495273004693,6.4941329585068729 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.879863853300785,-11.472989520293995,2.4995289758494438,-9.001844900439437,6.43778375156972 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.824271674463899,-11.474055405840178,2.4532181341157868,-9.01133622612798,6.3809506471673169 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.770587717799012,-11.451691134680699,2.3994323457695829,-9.044815158269217,6.32427939490627 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.716810675667383,-11.43048675466728,2.347658892409413,-9.07858642706168,6.268103513823125 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.663338603741325,-11.41036346658573,2.296373640502452,-9.111491807977814,6.212405436443172 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.610175923618141,-11.391256935794513,2.245617246920233,-9.143377657194606,6.157076273288754 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,5.5565707482566559,-11.341466848944906,2.221364745040944,-9.089349428374021,6.101835201346848 
 01/01  07:30:00,-10.3,188.30072792873029,1.0,22.819555959623899,1.0,22.819555959623899,188.30072792873029,5.628755662194072,-9.667558066803132,2.5006913416575005,-8.76950429392798,6.06623148560154 
 01/01  07:45:00,-10.15,924.5584615418986,1.0,109.75755355442667,1.0,109.75755355442667,924.5584615418986,6.044609392123917,-3.2930241237424258,3.70275571421314,-7.700486566772952,6.104968078364146 
 01/01  08:00:00,-10.0,1681.210308021426,1.0,195.8764694434918,1.0,195.8764694434918,1681.210308021426,6.570094523106597,3.1824198825114498,5.0317656881643419,-6.637112753194174,6.225847099594965 
 01/01  08:15:00,-9.725,2435.2559543377349,1.0,278.97248314719988,1.0,278.97248314719988,2435.2559543377349,7.028774481674585,8.362609060587515,6.418449781155118,-5.675258924135051,6.40400560660782 
 01/01  08:30:00,-9.45,3230.1064742462806,1.0,364.91995730569456,1.0,364.91995730569456,3230.1064742462806,7.494723470866361,13.437621154308742,7.81716636491808,-4.711308449136084,6.629213946136944 
 01/01  08:45:00,-9.175,3755.976558067628,1.0,420.35879993239237,1.0,420.35879993239237,3755.976558067628,7.830179730118043,16.194513323176197,8.75204587867222,-4.11551357238227,6.880589534382354 
 01/01  09:00:00,-8.9,4301.872675472636,1.0,478.00138373643099,1.0,478.00138373643099,4301.872675472636,8.222138278225753,19.188758160026017,9.677349401240122,-3.50087027250612,7.147346806497113 
