Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.596744904495819,-5.901993576237078,3.3266430527766035,-4.435879624039558,6.048954478422001 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.415178219545697,-8.3694774980591,2.7207120027675275,-6.52348646430454,5.9518802535719399 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,5.213670638321174,-10.844948166831646,2.1090359719534605,-8.617491695815318,5.82290530013024 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.996302276307592,-13.32703512011463,1.4826839463315196,-10.719209522261395,5.671719816697425 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.92863024498733,-13.128071493563042,1.413961338833758,-10.562221908761672,5.535386624162051 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.84732106761161,-12.950990517959918,1.3807241202429737,-10.417253359833865,5.430953669279145 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.783175809462596,-12.772745920806136,1.353081743976361,-10.271882291562747,5.353092280654476 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.730233357347687,-12.594579460972673,1.3381255231130354,-10.123865072841113,5.290812620287741 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.679005542976838,-12.468433280943338,1.3336221101379238,-9.987404079962574,5.235233461141469 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.63090525775689,-12.343651356506158,1.3240838523324783,-9.831678785651036,5.181855347369717 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,4.583760434129103,-12.220393136964344,1.323119661094438,-9.694200906962863,5.12946896951998 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.537022567333923,-12.098709303927189,1.3159294327432463,-9.53888646458745,5.077852089205221 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.486622362058727,-12.070394303043317,1.263688534297387,-9.574651267226102,5.026166792609631 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.436600666260849,-12.043169296414219,1.2145165106469449,-9.609588773689893,4.97407658330469 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.38640864080966,-12.017472922548564,1.165712224268077,-9.643604289527389,4.921690229739328 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.336146918147847,-11.993174574078497,1.1171015878534832,-9.676618097682422,4.869215676200875 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,4.291515773983568,-11.871206535350148,1.1050502026516825,-9.590218058981634,4.817851773582839 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,4.247098307690674,-11.749310480945438,1.0908894187390388,-9.495804662952878,4.768083134919213 
