Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.340297941957142,-5.852118478152072,5.60574355615438,-3.972979415712416,8.859905525032929 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.153992183545796,-8.319106866858862,5.0053628494270019,-6.0603808082386199,8.754005768955875 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.947445851442089,-10.794019118191607,4.397876703705265,-8.15386538963969,8.616915589256453 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.725070897808182,-13.275574438171966,3.7751155705332168,-10.254817207695169,8.458530540833034 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.6487968979501999,-13.07621908994822,3.700498388201538,-10.092414581487163,8.315839013773026 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.559599647180056,-12.89930872326139,3.659217873430407,-9.949509638987707,8.205267348059757 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.487660137843117,-12.721256931962103,3.6239213619256818,-9.80613905686289,8.120855584377323 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.426769061624091,-12.543295667165945,3.6013255910825139,-9.660141782511915,8.051373789021032 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.367528324635976,-12.415922074351478,3.587383035032417,-9.508598246250358,7.987997377795971 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.311296018660891,-12.28986059572349,3.57518322762121,-9.35678449853998,7.92654472183658 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,7.255837412586493,-12.16525373326196,3.5646560873650516,-9.20467589780128,7.865918137492856 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.200859720720233,-12.042155475100527,3.5547507008585628,-9.052530577186019,7.8060589671199429 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.142066492663026,-12.015623366227743,3.4933985953944104,-9.097497175607714,7.746062047005557 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.083677560767426,-11.990108436249873,3.4353593697448447,-9.141045434893102,7.685562017983635 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.025089007761889,-11.96603813515255,3.377699449626334,-9.1834898898,7.62470211048245 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.966424001956452,-11.943284263630014,3.3202490395212864,-9.224761623275015,7.56373504730006 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.913354887373064,-11.821515901852557,3.300675693141784,-9.140011539976854,7.503935221203999 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,6.860528347831577,-11.699803776501418,3.2787767263793627,-9.047093270330834,7.445795609685979 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,6.808775820380995,-11.578067901984252,3.2571883513080595,-8.953319068179212,7.389065291872723 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.757909689799219,-11.456341243155896,3.2364392715896885,-8.85930265016276,7.333348679400018 
