Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.006178703741452747,-6.0043300379233799,-1.2647261383333444,-5.386313424484513,0.2989966764947496 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.1777649993143644,-8.472269580765844,-1.8895405395233525,-7.4739971756159779,0.22039256799524288 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.37029839040374837,-10.948980898261642,-2.5136541384556496,-9.568335821933772,0.1081147823582672 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.5792900368096873,-13.432158158410948,-3.150772731298275,-11.671248404931362,-0.028953612817342508 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.6283107799256439,-13.234006324390196,-3.2093007861786875,-11.529326503525568,-0.15348481336062687 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.6937999767168882,-13.056638267824934,-3.2258264196831307,-11.380029018513426,-0.24685274844703462 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.7424086426766153,-12.878007597196067,-3.2381060364755287,-11.230388803888559,-0.31278160956985048 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.7795026658410293,-12.699431779904707,-3.234036235394342,-11.087927417422464,-0.3615101093118435 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8149749909808809,-12.57578994844348,-3.231145631326683,-10.953550093735999,-0.4021845528994968 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8467636572742757,-12.453618939545889,-3.2260348759139108,-10.8198062955953,-0.4397278691106112 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.8774057067647156,-12.333099092137035,-3.218920037368889,-10.686245332103283,-0.4758487127172428 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9074451845869589,-12.214293305930403,-3.211097282414812,-10.553164237038402,-0.5109497155875965 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9409366199204863,-12.182355166145849,-3.2471227384749,-10.561372844878577,-0.5458545841425531 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.974014655368943,-12.151654530346866,-3.278388723918397,-10.576630371917134,-0.5809204342548107 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.007190400324456,-12.122650812330244,-3.3089846742060446,-10.592053125373014,-0.6161271064766396 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0404136496557633,-12.095208496047638,-3.339415070225755,-10.607011595190216,-0.6513591571772345 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.0669368572963312,-11.972825974390345,-3.3364056703441635,-10.517291586678198,-0.6854775286676502 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.0942377788041875,-11.850586901625992,-3.3346597928797907,-10.419830117789559,-0.7180667162277967 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.1205468332413138,-11.728290461973435,-3.3329143161689105,-10.32161049818626,-0.7493802099643891 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.1460872541493484,-11.60600777059728,-3.3304424408969455,-10.223164657906864,-0.7797769995186017 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.18008149609659,-11.60671632840259,-3.355842084593178,-10.22370326024702,-0.8108229531122624 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2125575541680305,-11.607287061892722,-3.3831033212574086,-10.228146375914094,-0.8432533873990977 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.245677094368228,-11.60793934411447,-3.410055777077446,-10.233425672443787,-0.8768174281370359 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.279155779038014,-11.6085879285821,-3.437315966309825,-10.239098556461727,-0.9110168291967803 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.309340055761739,-11.582279697872897,-3.466865447862631,-10.249515266936442,-0.9449962545203027 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3417518201825123,-11.557369404238968,-3.4947742830509584,-10.26030513703256,-0.978535078218891 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.3717658649278482,-11.533647508848953,-3.5228065019693988,-10.271224874013342,-1.0115642864495034 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4026578542399125,-11.51118754809412,-3.5499419735482435,-10.28168826456124,-1.0441939134874965 
