Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.111900199377481,-5.983795287745795,-0.35585645895434939,-5.19600394831798,1.4476425369790805 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.938565938318397,-8.451746985140867,-0.9759146182474296,-7.2837165601357018,1.3652079928581467 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,0.7443301011957617,-10.928213994718,-1.5969305264437708,-9.37808132060917,1.2495475148221885 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5335839179090636,-13.411172358773224,-2.2314692280220926,-11.480813547299875,1.1097083715463774 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,0.4810141220153609,-13.212849353797985,-2.291871377910411,-11.335294859811484,0.9829841191408013 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.41236986800550959,-13.035542134492742,-2.311695591879811,-11.186857504675914,0.8876384048816696 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.36072313160264088,-12.856985765797577,-2.327018440414122,-11.03810133266262,0.819558923450333 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.32048852085287046,-12.678490578572259,-2.329727545809078,-10.886667660751641,0.7682716465930503 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.28195813898054269,-12.554350498441945,-2.3255722267998637,-10.75887986017483,0.7247425803152103 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.24697441544760033,-12.431658431661843,-2.322111350906198,-10.623231951139929,0.6841603796628261 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2130813276939247,-12.310592204741753,-2.3171114589797527,-10.486900249181645,0.6448880512309385 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.17976302399744654,-12.191213564809813,-2.311453718525968,-10.350867351323132,0.6065678986786405 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1429218971687329,-12.159995607356287,-2.3514597387218147,-10.363046063035313,0.5683606257672438 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.10648697336318347,-12.12998720980294,-2.3864156039811634,-10.382279813901278,0.5299207114270874 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06993107639089227,-12.101642451950255,-2.4206773600591307,-10.401572356481268,0.4912980414913748 
