Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4854490076265404,-5.976955990558879,-0.05127834151960542,-5.13249039036873,1.8313183442023267 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.311538150054173,-8.444889805869359,-0.6699044382970101,-7.220212683244597,1.7476182739851376 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.1167164600524689,-10.921276493158905,-1.2899579003013742,-9.314571788055787,1.6308301872722709 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9053726163241869,-13.404161525787409,-1.9236925114097404,-11.417236769330487,1.4900524377787717 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,0.8516156291426801,-13.205781728443359,-1.9847517426595687,-11.270601399970247,1.3625695343533562 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.7819123804322906,-13.02849525254142,-2.0056776413478589,-11.12245064083237,1.2665310782958777 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.7292423753599684,-12.849963921832205,-2.0220211457866528,-10.973985556654157,1.1977022466405403 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6879684141270835,-12.67149579497643,-2.025735692767171,-10.822843735965705,1.1455537319279017 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6484002248081495,-12.54718853745155,-2.0222620647085138,-10.694292557091558,1.1010610013205089 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6123449569833697,-12.42432262502939,-2.019518661004497,-10.557751245659688,1.0594463466867499 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5773584172705178,-12.303073958734786,-2.0152568650289597,-10.4204943355777,1.0191037421748195 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5429373365858344,-12.183503857047148,-2.0103426299912146,-10.283505246351183,0.9796947997765579 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5049715242107666,-12.15252683339894,-2.0516731736918247,-10.296984958117094,0.9403755676740723 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4674110726717077,-12.122749896347452,-2.087859438013652,-10.317522774417,0.9008031490686144 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.42972311304935209,-12.094625433870453,-2.1233433399919479,-10.338086252481162,0.8610359910362991 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.39197761176405507,-12.068019094929927,-2.158644371573871,-10.35803859963903,0.8212226467309677 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,0.3599412506718572,-11.94574814034036,-2.1596048565683079,-10.269184937841829,0.7824416258719728 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.32808481769112515,-11.823576507045623,-2.16229084867706,-10.172569354141047,0.7451594250236482 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,0.29716831933909,-11.701384687583828,-2.164733225706925,-10.075124216906659,0.7091905055459001 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.26805643260554076,-11.579202842007499,-2.166441001975329,-9.977456176194324,0.674311129280837 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.22956596892942753,-11.580014567809537,-2.1951539599418199,-9.978968397405197,0.6388743112311079 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19282736722819675,-11.580659376979743,-2.226054577087268,-9.984258923277935,0.6020506170693842 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.15541777973195099,-11.581393866339326,-2.2566321588442408,-9.99029287332121,0.5640765673478483 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.11764654008514358,-11.582123896740729,-2.287536119796073,-9.99669764650264,0.5254677970377989 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.08202952537187006,-11.556590192746097,-2.3239965018630075,-10.01098912495604,0.48688030369710647 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.04622567544501685,-11.532382517136148,-2.3568914149718696,-10.02676374182397,0.44875452583603067 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.010667312087723261,-11.50939932945469,-2.3893928025837569,-10.042299535121174,0.41112720816007927 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.024606146886952956,-11.487568907962997,-2.421499673729727,-10.057302666290639,0.3738876665801666 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.060817349274294978,-11.439891371147809,-2.434846758431604,-10.014271971674475,0.33658976936434556 
 01/01  07:30:00,-10.3,73.34534335206519,1.0,22.819555959623899,1.0,22.819555959623899,73.34534335206519,0.008276385642230032,-9.767113244062396,-2.0211366301762156,-9.615632288177835,0.31411267234170456 
 01/01  07:45:00,-10.15,362.1883365258958,1.0,109.75755355442667,1.0,109.75755355442667,362.1883365258958,0.36359037096889737,-3.408535041064755,-0.32313885409860179,-8.197847132861853,0.34676392573826106 
 01/01  08:00:00,-10.0,664.237802462307,1.0,195.8764694434918,1.0,195.8764694434918,664.237802462307,0.8201247891677815,3.0926540164363316,1.50081062900108,-6.801451347546788,0.4392381319868695 
 01/01  08:15:00,-9.725,970.6958060072673,1.0,278.97248314719988,1.0,278.97248314719988,970.6958060072673,1.148082777885262,8.263267687766204,3.0927492401723954,-5.604847707505428,0.5799635182582932 
 01/01  08:30:00,-9.45,1298.9694259730509,1.0,364.91995730569456,1.0,364.91995730569456,1298.9694259730509,1.5207803049147387,13.34623767667485,4.662737722770544,-4.426688944490479,0.7608306346853663 
 01/01  08:45:00,-9.175,1522.7662569356813,1.0,420.35879993239237,1.0,420.35879993239237,1522.7662569356813,1.7731590327369025,16.105625966108599,5.687981598518775,-3.7150829521362427,0.9624211822464163 
 01/01  09:00:00,-8.9,1756.7569016446956,1.0,478.00138373643099,1.0,478.00138373643099,1756.7569016446956,2.071875329208326,19.10133929485667,6.719371994430219,-2.974270673945739,1.1758878067822297 
 01/01  09:15:00,-8.350000000000002,1997.1271790730885,1.0,536.9185644770597,1.0,536.9185644770597,1997.1271790730885,2.3108760461659014,20.22207044504031,7.775326765756063,-2.21935789718043,1.406609332612995 
 01/01  09:30:00,-7.800000000000001,2246.567610769451,1.0,598.0969199229219,1.0,598.0969199229219,2246.567610769451,2.5753664485632776,21.477514042769234,8.854396786633402,-1.4668398367585383,1.65263621675798 
 01/01  09:45:00,-7.25,2414.4322728862937,1.0,637.6133352894237,1.0,637.6133352894237,2414.4322728862937,2.7721110883489947,21.539403704264655,9.606055491536381,-0.9595176777269785,1.8994363692879115 
 01/01  10:00:00,-6.7,2579.8453727895268,1.0,676.6412284283772,1.0,676.6412284283772,2579.8453727895268,2.985040750676604,21.70132368293667,10.333630988034998,-0.4560012051405806,2.138155749538505 
 01/01  10:15:00,-6.275,2742.1473551373594,1.0,715.0112779846514,1.0,715.0112779846514,2742.1473551373594,3.2746359678097369,23.7986605967588,11.102137381157889,0.30104351174975366,2.372709569394604 
 01/01  10:30:00,-5.85,2900.423787504337,1.0,752.5077794605232,1.0,752.5077794605232,2900.423787504337,3.5501013728254877,25.73350307342512,11.85692147335385,1.0349568654992254,2.6081482399184399 
 01/01  10:45:00,-5.425,2858.388165044743,1.0,742.5988714321785,1.0,742.5988714321785,2858.388165044743,3.7030411058528127,25.58527069416707,11.946892569050477,1.3083654643766068,2.8289236735924128 
 01/01  11:00:00,-5.0,2795.6107495904004,1.0,727.8169025450712,1.0,727.8169025450712,2795.6107495904004,3.851952079646983,25.35571880537533,11.944092236535483,1.5442471407185963,3.024194832192792 
 01/01  11:15:00,-4.575,2686.8178938231355,1.0,700.3759009170325,1.0,700.3759009170325,2686.8178938231355,3.951365354038606,24.61282630995586,11.761720126604019,1.7016151822946882,3.1888543907099744 
 01/01  11:30:00,-4.15,2602.9440241108225,1.0,681.6705029034473,1.0,681.6705029034473,2602.9440241108225,4.069209293335335,24.282072547622815,11.691387398619952,1.9440817473498556,3.3301565571469706 
 01/01  11:45:00,-3.7249999999999998,2279.8032483482036,1.0,602.01865277251,1.0,602.01865277251,2279.8032483482036,3.9809334418710589,21.253595273793758,10.75277038620419,1.6207350408371895,3.4302149380710915 
 01/01  12:00:00,-3.3,1858.7873123364294,1.0,493.55004396206007,1.0,493.55004396206007,1858.7873123364294,3.798052903242819,17.074751234109696,9.307313354733538,0.9991047208986856,3.4711966452176234 
 01/01  12:15:00,-3.0249999999999996,1526.1467895952692,1.0,412.335026418112,1.0,412.335026418112,1526.1467895952692,3.668256775029122,14.22972935315391,8.192474980834163,0.5762865692950072,3.465516532562155 
 01/01  12:30:00,-2.75,1110.5483628442103,1.0,305.94037763660148,1.0,305.94037763660148,1110.5483628442103,3.412434031907649,10.055737130816514,6.640204096570756,-0.12222172321372682,3.417392008144144 
 01/01  12:45:00,-2.475,1010.3492039075998,1.0,281.0763483922329,1.0,281.0763483922329,1010.3492039075998,3.39321534992714,9.5406078524761,6.29413471430496,-0.04073859717288997,3.3578748747957345 
 01/01  13:00:00,-2.2,912.2196393336444,1.0,256.7721209415886,1.0,256.7721209415886,912.2196393336444,3.3628241980252029,8.935263351555337,5.9993982798803249,0.06368274790543183,3.308801358222865 
 01/01  13:15:00,-1.9250000000000003,743.0401234054209,1.0,210.73276284570657,1.0,210.73276284570657,743.0401234054209,3.257807811288752,7.3862666432962549,5.322933017897753,-0.09689497125816615,3.2657593733148055 
 01/01  13:30:00,-1.6500000000000002,656.1562134393181,1.0,189.38488290342594,1.0,189.38488290342594,656.1562134393181,3.2325268336010648,6.978975324348641,5.031978383617627,-0.014255623961844322,3.228946163765676 
 01/01  13:45:00,-1.375,626.9742949443921,1.0,179.3940297802914,1.0,179.3940297802914,626.9742949443921,3.235827521542592,7.100755058443257,4.9397576284831079,0.18869701339849599,3.20012588461421 
 01/01  14:00:00,-1.1,596.9642645840935,1.0,169.43349014176136,1.0,169.43349014176136,596.9642645840935,3.2365147452090778,7.197783345427003,4.84548629587573,0.38961991438895895,3.178872932089788 
 01/01  14:15:00,-1.1,627.4572591441391,1.0,178.15692317953907,1.0,178.15692317953907,627.4572591441391,3.284749783395787,8.012436030951415,5.0038223988490249,0.5364268930941876,3.1677885784636574 
 01/01  14:30:00,-1.1,589.2121662696902,1.0,166.40516310952945,1.0,166.40516310952945,589.2121662696902,3.249258467766786,7.648730259556508,4.816511186805542,0.44541880943199887,3.1607076728114427 
 01/01  14:45:00,-1.1,494.8686671746639,1.0,140.8967369711617,1.0,140.8967369711617,494.8686671746639,3.161020949091038,6.440687562088891,4.3662102119211,0.16333846275028919,3.1451641620118875 
 01/01  15:00:00,-1.1,405.48414811819796,1.0,116.57355796743004,1.0,116.57355796743004,405.48414811819796,3.0638630817222034,5.2272268157016399,3.912348248725948,-0.13261831765066746,3.1147103115740037 
 01/01  15:15:00,-1.1,320.35759232732257,1.0,93.14939272689483,1.0,93.14939272689483,320.35759232732257,2.975930853337801,4.172159958169073,3.4762159661576108,-0.365358823137683,3.0705089084984777 
 01/01  15:30:00,-1.1,197.96738420177338,1.0,57.94047897402063,1.0,57.94047897402063,197.96738420177338,2.8138673503060507,2.04196374882547,2.7554923555797474,-0.8097703579323934,3.009484442734105 
 01/01  15:45:00,-1.1,152.72573943084616,1.0,45.38251793443488,1.0,45.38251793443488,152.72573943084616,2.755085367504433,1.4245540682774716,2.4775806596414897,-0.9395323520382135,2.9394732431332795 
 01/01  16:00:00,-1.1,106.14989104773994,1.0,32.02625108222755,1.0,32.02625108222755,106.14989104773994,2.664128959544611,0.5526402986059896,2.20068008322653,-1.0930618643388926,2.866734439640836 
 01/01  16:15:00,-1.1,58.050174946299097,1.0,17.762198626050539,1.0,17.762198626050539,58.050174946299097,2.544710194422006,-0.7104351751316096,1.86184817167441,-1.387862518199654,2.7884697910466906 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.3773697932587365,-2.552790559405591,1.4471962883198444,-1.7413561261984683,2.6937083871929774 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.3306438357900136,-2.6938081491058827,1.3574583325083723,-1.8005065196423403,2.599051774757023 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.269446933417599,-2.8941693378054689,1.298785723246624,-1.8652918172388127,2.518973150175953 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.2198248851540756,-3.04080527289523,1.2178173328087497,-2.006036026139327,2.4560047733956398 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.1752301858046105,-3.1931564454803009,1.1497954515034508,-2.136056547255805,2.4061344393100705 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.1351593942030346,-3.3448756830206318,1.0859630123206899,-2.265565703989182,2.3643315256991626 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.09854487028125,-3.4967647892486846,1.0253920947404823,-2.3941318702488845,2.327099248183033 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,2.0887183947609047,-3.3350974092696679,0.9951080218943389,-2.421998523234322,2.296137642675655 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.0786153237818234,-3.2563864242962339,0.9670930038894312,-2.471691286347209,2.2729065216454269 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,2.063389676358677,-3.326925118821607,0.9318733065057927,-2.5602581612527617,2.2556361781571807 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0515334828836577,-3.2941769186907758,0.9056101229767819,-2.625528800176653,2.241313521562009 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.055680723445236,-2.99034816111518,0.9639645081975914,-2.395964836647636,2.229880448272235 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.0604878784916695,-2.68977990154338,1.0227520939994293,-2.1584124226473024,2.221582251571634 
