Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.820764363692659,-5.879736558026509,4.341236499409035,-4.22915708813639,7.303482457551958 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.637132147341786,-8.347005287793852,3.7379752389214788,-6.3166993491259408,7.202459104062575 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,6.433414300032846,-10.822225660834207,3.1283025773358306,-8.410490726381227,7.069860554740004 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,6.213842563667908,-13.304074461048117,2.503661512503413,-10.511878585691648,6.915475669751275 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,6.1423309716575329,-13.104933954348616,2.432355546193264,-10.352362241427216,6.776337720590014 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,6.057506697374488,-12.927928403881794,2.395530691691647,-10.208316253930434,6.669209681589009 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,5.989896918857316,-12.74976934126426,2.3644827778260266,-10.063843150489675,6.58846972966576 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,5.933423026336587,-12.57169404375628,2.3461322756799065,-9.916731836520626,6.523013497653254 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.878606852702456,-12.445000285364462,2.335455417157391,-9.768174527343377,6.463949596192659 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.826958366288366,-12.319649079728427,2.3303111687981756,-9.629010709520799,6.407038141640672 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,5.776055642407135,-12.195786597704207,2.3197706791889916,-9.470482746547987,6.350986271317885 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.72573373738094,-12.073474485656244,2.3168306220853767,-9.330453985188399,6.295750879380744 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.671567068131546,-12.04595155548443,2.25738611979898,-9.362111960888,6.240386167716886 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.617826915398525,-12.019489743179042,2.20382550093575,-9.40027422929495,6.184536012098299 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.563886870005534,-11.994519096989344,2.1510291406796115,-9.438029850945896,6.128350235224299 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.509870738601038,-11.970909692933704,2.0984601665371658,-9.474763279341858,6.072072734570878 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,5.461471068680242,-11.849030991984164,2.083056117229603,-9.389100317586156,6.0169392257373979 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,5.413301065781967,-11.727216955665064,2.0654463330286605,-9.295353265998756,5.963435356766917 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,5.3661786652909468,-11.60537990466117,2.048132956270365,-9.20075525569689,5.911321689422169 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.319924764239445,-11.483552255899815,2.0316371477539976,-9.10591861357409,5.8602120904130079 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.266771825080598,-11.484584232990521,1.9863794447492183,-9.10773924854874,5.808496845428396 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2142576476371709,-11.4855682571463,1.9421983786371584,-9.11613652135361,5.755472594260274 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.161212346324794,-11.486594190352383,1.8982055818214008,-9.125107666055328,5.701429510529218 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.107866996211649,-11.487617734881943,1.8538582920843965,-9.134222954986,5.646886862060878 
