Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.963485177796902,-5.8589663428843379,5.291673465315171,-4.0364598631648509,8.47404551020115 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.77785351363323,-8.326025223782903,4.690619122211956,-6.123903182138633,8.369353118955806 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.572017112308831,-10.801013598078292,4.082619879135564,-8.217467690931813,8.23337647744946 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.350344182911351,-13.282641457799166,3.4594164004238339,-10.318530144091938,8.075986207748944 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.275250824644558,-13.083338869917368,3.3856304686448768,-10.156819279879983,7.934182758602349 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.187138925643862,-12.906404746932,3.345455236104897,-10.013631801568636,7.824474383497417 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.116275943362669,-12.728326244419299,3.3112144842808677,-9.869988967805285,7.740982520447152 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.056483497191128,-12.550336612407215,3.2896746721525007,-9.723716424429995,7.672506786850546 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.998343422119729,-12.423131612770425,3.276549690940044,-9.572905005078951,7.610205554397769 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.943237279211946,-12.297246342827853,3.26519323841967,-9.421839221354049,7.549867602070636 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.888916319446033,-12.172824781923655,3.2555213760701919,-9.270490355211564,7.490372683953836 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.835078366887933,-12.04992132068641,3.246473702313665,-9.119117496185482,7.431650396649055 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.777440701646523,-12.023143730618165,3.1863978576378715,-9.162849874444874,7.372803008585913 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.720205738416393,-11.99739350097984,3.129576645093209,-9.205239242136713,7.313465104068033 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.662774632546143,-11.973099595723982,3.07313343644455,-9.24654615237506,7.253773737781525 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.60526700549251,-11.950133416628387,3.0168972422177946,-9.28670201549329,7.193975910265518 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.553358736623988,-11.828337736621119,2.998363118407724,-9.20172524911743,7.1353366967307789 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,6.5016885886445519,-11.706600351033597,2.977531166124777,-9.10860091583288,7.07834856062807 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,6.451085357829167,-11.58483939156121,2.9570054053516516,-9.014621997907057,7.0227643589912109 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.401363883861317,-11.463087687670287,2.937313191430576,-8.920401798100443,6.968191242147835 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.344836808062383,-11.46417615643609,2.8890773582843396,-8.922890676761995,6.913012086807268 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.288953823608783,-11.465223987015783,2.841954946898454,-8.931865894894372,6.856531216850671 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.232545115243584,-11.466313489466654,2.7950241411170966,-8.941401320799742,6.799049964154582 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.175849140366282,-11.467400173579462,2.7477467530167134,-8.951077255345468,6.741092353408754 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.121045833552335,-11.445231511051457,2.6927610057570066,-8.985581405126823,6.683299233884475 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.06615474797143,-11.424212681219249,2.6398195320984998,-9.020400809707326,6.626001428170902 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.011571109557522,-11.404265960843477,2.587376678100668,-9.054333547712531,6.56918133214774 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.957298834762125,-11.385327499410345,2.535470200656164,-9.087222306567526,6.512730998005839 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,5.902612812981027,-11.33540671313753,2.5105018272008694,-9.032566347471857,6.456379415729175 
 01/01  07:30:00,-10.3,195.09020988822949,1.0,22.819555959623899,1.0,22.819555959623899,195.09020988822949,5.974895364620579,-9.661432658133661,2.7841349430970014,-8.715630203650278,6.419976838620163 
 01/01  07:45:00,-10.15,957.8948860166297,1.0,109.75755355442667,1.0,109.75755355442667,957.8948860166297,6.394176970315572,-3.2860002391465605,3.9653148304315666,-7.661560097302072,6.459103607303111 
