Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.720808523485518,-5.845203787127319,5.923222602590499,-3.9089068186704027,9.249485503681547 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.53381490921274,-8.312120501472638,5.323497036998731,-5.99626070147167,9.142367568137925 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,8.326546135319589,-10.786956082810823,4.71651055942209,-8.089662175800413,9.004152981457138 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.10345775045011,-13.268438315655294,4.094180856990647,-10.190500696452205,8.844761579192179 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.025991710739767,-13.06903004739372,4.0187177846971739,-10.027414561001934,8.701168938071456 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.935697832965746,-12.89214376897319,3.9763208137893004,-9.884794654098187,8.589719634099567 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.862669394680657,-12.714119023863843,3.9399566987208347,-9.741698276433113,8.50437305298169 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.80066680694592,-12.53618646492264,3.9162924725327459,-9.595978356429498,8.433870420902837 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.740312383324592,-12.408642617439743,3.901519273896156,-9.44370094615897,8.369404663351674 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.682941014130564,-12.282403149493515,3.8884627976254935,-9.291138578823052,8.306823828362728 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,7.6263321680194979,-12.15760909299377,3.8770671665340616,-9.138270016252136,8.245052655375316 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.570202384708067,-12.034314029691466,3.866290961112554,-8.985352501389912,8.184044054818136 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.510241306383934,-12.00802993963991,3.803651196467797,-9.03155832551397,8.122885253537424 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.450686210380826,-11.982752722669547,3.74438245212923,-9.076270093461347,8.06121089315375 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.390928094569792,-11.958908299090299,3.685494230555605,-9.119857074241168,7.999170378049597 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.331093678070438,-11.936368877503437,3.6268179748278728,-9.162249984847222,7.937022142233629 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,7.276851857931769,-11.814628072040352,3.606193471116285,-9.077728745378238,7.87604987152555 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,7.222857163748311,-11.692941456004708,3.5832157316302757,-8.985018735248673,7.816747014463973 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,7.169943599205026,-11.571230915515127,3.560553071063964,-8.89145145035593,7.758858846451117 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.117921096864759,-11.449529550470354,3.538735499182849,-8.797641016623743,7.701987038833518 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.059153182651409,-11.45065576973013,3.4885169005508489,-8.800570241859078,7.644509672090744 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.00103290262266,-11.45174595391925,3.439434620953193,-8.809928383006082,7.585736060668679 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9423911057420739,-11.452877640016514,3.3905465033766406,-8.819838012500896,7.525974569987427 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.883470797692335,-11.454006225005795,3.3413174516746269,-8.829885736828374,7.465752069015037 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.8264125888271309,-11.432231392665847,3.2839176183953215,-8.866440455724217,7.405699364897502 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.769277325070712,-11.411586157252817,3.228625735774699,-8.90335592639002,7.346141849240316 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.712454407914272,-11.39199492369519,3.173852942669839,-8.939343979551382,7.287061913565047 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6559468264501249,-11.37339481824496,3.119631267968373,-8.974240012649887,7.228353540258048 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,6.5990826795804449,-11.323210769461959,3.0932089537230924,-8.918333897865864,7.1697654807124169 
 01/01  07:30:00,-10.3,208.73384493488994,1.0,22.819555959623899,1.0,22.819555959623899,208.73384493488994,6.671529001878014,-9.64910661002143,3.3547875284790509,-8.607792987133621,7.131742775411319 
 01/01  07:45:00,-10.15,1024.8852708512487,1.0,109.75755355442667,1.0,109.75755355442667,1024.8852708512487,7.097580492919249,-3.2718902375381058,4.4917662474796888,-7.5858674332232,7.1715941119082509 
 01/01  08:00:00,-10.0,1863.6438403489406,1.0,195.8764694434918,1.0,195.8764694434918,1863.6438403489406,7.634565853175792,3.199298508373822,5.749229134442089,-6.573263995534262,7.2973286349138279 
